behavior_id,user_id,merchant_id,merchant_area,merchant_avg_price,merchant_score,merchant_scene,behavior_type,behavior_time,amount,rating,review_content
B00001,U0001,M0461,涟源市,65,4.3,下午茶,浏览,2025-12-28 00:41:15,,,
B00002,U0001,M0445,涟源市,35,4.3,商务聚餐,下单,2026-01-21 08:08:15,32.21,,
B00003,U0001,M0282,涟源市,48,4.6,周末午餐,下单,2025-11-10 06:23:15,44.88,,
B00004,U0001,M0203,涟源市,79,4.6,夜宵,浏览,2025-12-24 03:13:15,,,
B00005,U0001,M0412,涟源市,75,4.1,学生夜宵,浏览,2026-01-26 06:49:15,,,
B00006,U0001,M0433,涟源市,67,4.7,商务宴请,浏览,2026-01-02 02:21:15,,,
B00007,U0001,M0253,涟源市,53,3.8,亲子聚餐,下单,2025-11-09 14:18:15,53.59,,
B00008,U0001,M0400,涟源市,60,4.7,朋友聚会,下单,2026-01-01 13:28:15,63.96,,
B00009,U0001,M0183,涟源市,54,4.4,朋友聚会,下单,2026-01-09 19:45:15,44.31,,
B00010,U0002,M0464,娄星区,43,3.6,家庭聚餐,浏览,2025-12-25 11:14:15,,,
B00011,U0002,M0156,娄星区,60,3.9,学生夜宵,下单,2025-12-22 21:11:15,63.21,,
B00012,U0002,M0055,娄星区,6,4.6,学生早餐,下单,2026-01-24 05:43:15,5.38,,
B00013,U0002,M0385,娄星区,65,4.3,学生用餐,评价,2025-11-25 20:27:15,,4.6,分量足 值得推荐 性价比高
B00014,U0002,M0343,娄星区,61,4.4,周末聚餐,收藏,2025-11-14 05:16:15,,,
B00015,U0002,M0209,娄星区,15,4.0,学生用餐,浏览,2025-11-23 01:27:15,,,
B00016,U0002,M0194,娄星区,18,4.3,工作日午餐,浏览,2026-01-14 14:43:15,,,
B00017,U0002,M0169,娄星区,22,4.0,工作日早餐,收藏,2025-12-23 14:45:15,,,
B00018,U0002,M0341,娄星区,15,4.4,学生用餐,收藏,2025-11-13 09:25:15,,,
B00019,U0002,M0327,娄星区,60,4.3,工作日早餐,收藏,2026-01-01 11:51:15,,,
B00020,U0002,M0250,娄星区,34,4.1,工作日午餐,浏览,2025-11-15 22:29:15,,,
B00021,U0002,M0403,娄星区,59,4.4,工作日午餐,收藏,2025-11-05 08:06:15,,,
B00022,U0002,M0492,娄星区,45,4.7,夜宵,下单,2026-01-24 14:33:15,36.72,,
