user_id,age,gender,location,occupation,preference_cuisine,preference_price_range,preference_scene,registration_date
U0001,50,男,涟源市,工程师,川菜,高档,家庭聚餐,2025-07-11
U0002,33,男,娄星区,公务员,川菜,高档,学生午餐,2025-05-07
U0003,18,女,新化县,学生,小吃,经济型,学生午餐,2025-07-09
U0004,59,女,双峰县,自由职业者,川菜,高档,商务聚餐,2025-10-04
U0005,19,男,新化县,上班族,素食,高档,夜宵,2025-10-19
U0006,32,女,双峰县,学生,西餐,经济型,学生夜宵,2025-04-14
U0007,54,女,冷水江市,自由职业者,西餐,中档,商务聚餐,2025-02-16
U0008,46,男,双峰县,学生,日韩料理,经济型,学生早餐,2026-01-30
U0009,54,男,冷水江市,其他,湘菜,中档,商务宴请,2025-10-08
U0010,38,男,涟源市,工程师,小吃,中档,工作日晚餐,2025-12-25
U0011,24,女,双峰县,其他,西餐,高档,商务聚餐,2025-08-14
U0012,30,男,新化县,医生,小吃,经济型,亲子聚餐,2025-09-01
U0013,42,女,新化县,上班族,日韩料理,高档,商务聚餐,2025-05-18
U0014,59,女,新化县,工程师,小吃,中档,家庭聚餐,2025-02-06
U0015,30,女,新化县,医生,粤菜,经济型,早餐,2026-01-17
U0016,40,男,新化县,工程师,快餐,经济型,学生夜宵,2025-06-18
U0017,39,女,双峰县,工程师,湘菜,高档,夜宵,2025-11-20
U0018,22,女,冷水江市,工程师,快餐,高档,小吃,2026-01-25
U0019,39,男,双峰县,上班族,粤菜,高档,朋友聚会,2025-05-01
U0020,45,女,新化县,医生,粤菜,中档,商务宴请,2025-02-14
U0021,54,女,涟源市,其他,粤菜,中档,商务聚餐,2025-05-11
U0022,35,女,双峰县,工程师,快餐,高档,周末午餐,2025-04-08
U0023,44,男,双峰县,自由职业者,湘菜,高档,家庭聚餐,2025-06-02
U0024,39,男,娄星区,教师,湘菜,中档,早餐,2025-10-03
U0025,44,女,新化县,学生,素食,经济型,学生午餐,2025-06-29
U0026,31,男,冷水江市,医生,西餐,高档,家庭聚餐,2025-05-29
U0027,51,女,冷水江市,医生,川菜,中档,商务聚餐,2025-02-12
U0028,31,女,双峰县,上班族,川菜,中档,周末早餐,2025-05-02
U0029,25,男,双峰县,医生,素食,中档,朋友聚会,2025-10-09
U0030,23,女,双峰县,公务员,川菜,经济型,家庭聚餐,2025-04-13
U0031,46,男,娄星区,上班族,小吃,中档,家庭聚餐,2025-05-21
U0032,20,女,娄星区,教师,小吃,经济型,学生午餐,2025-06-17
U0033,43,女,双峰县,工程师,素食,中档,商务宴请,2025-02-23
U0034,42,女,双峰县,医生,小吃,中档,商务聚餐,2025-09-08
U0035,36,女,新化县,其他,日韩料理,高档,周末晚餐,2025-12-11
U0036,40,男,娄星区,公务员,快餐,经济型,学生夜宵,2025-04-24
U0037,33,女,冷水江市,工程师,湘菜,中档,甜品,2025-06-12
U0038,32,男,娄星区,工程师,湘菜,经济型,户外用餐,2025-02-05
U0039,31,男,双峰县,医生,川菜,中档,户外用餐,2025-05-22
U0040,51,男,冷水江市,上班族,小吃,中档,商务宴请,2025-08-24
U0041,45,女,涟源市,教师,西餐,中档,家庭聚餐,2025-07-29
U0042,60,男,双峰县,工程师,素食,高档,商务宴请,2025-05-13
U0043,47,男,娄星区,医生,湘菜,高档,商务聚餐,2026-01-21
U0044,32,男,涟源市,公务员,川菜,高档,节日聚餐,2025-04-19
U0045,42,男,冷水江市,学生,川菜,经济型,学生用餐,2025-02-09
U0046,54,女,冷水江市,自由职业者,川菜,高档,商务聚餐,2025-12-28
U0047,22,男,双峰县,教师,湘菜,高档,家庭聚餐,2025-06-07
U0048,54,女,冷水江市,学生,素食,经济型,学生早餐,2025-01-30
U0049,29,女,双峰县,自由职业者,小吃,中档,周末午餐,2025-11-24
U0050,57,男,娄星区,教师,西餐,高档,商务聚餐,2025-05-05
U0051,44,男,双峰县,工程师,西餐,中档,商务聚餐,2025-03-13
U0052,19,女,新化县,教师,日韩料理,中档,学生夜宵,2025-07-22
U0053,52,女,娄星区,工程师,日韩料理,中档,商务聚餐,2025-10-05
U0054,20,男,冷水江市,其他,西餐,高档,下午茶,2025-10-10
U0055,53,男,娄星区,上班族,小吃,高档,商务聚餐,2025-09-15
U0056,50,男,涟源市,工程师,湘菜,中档,商务聚餐,2025-06-02
U0057,44,男,新化县,自由职业者,素食,中档,商务宴请,2025-12-05
U0058,24,女,娄星区,学生,日韩料理,经济型,学生早餐,2025-03-28
U0059,43,男,双峰县,公务员,粤菜,中档,商务聚餐,2025-11-26
U0060,55,女,涟源市,学生,小吃,经济型,学生早餐,2025-09-21
U0061,20,女,涟源市,上班族,日韩料理,高档,夜宵,2025-02-28
U0062,55,女,冷水江市,自由职业者,小吃,高档,家庭聚餐,2025-04-26
U0063,54,男,双峰县,医生,西餐,中档,家庭聚餐,2025-02-21
U0064,28,女,娄星区,教师,川菜,中档,甜品,2025-03-02
U0065,53,女,新化县,自由职业者,快餐,中档,商务宴请,2025-10-18
U0066,44,男,新化县,医生,小吃,高档,商务宴请,2025-04-06
U0067,25,女,涟源市,教师,素食,高档,工作日早餐,2026-01-19
U0068,48,女,娄星区,上班族,日韩料理,中档,家庭聚餐,2025-10-24
U0069,38,男,娄星区,医生,快餐,中档,亲子聚餐,2025-11-05
