category,area,avg_price,score,main_scene,business_hours,dish_feature
湘式快餐,涟源市,35,4.4,学生午餐,11:30-15:00,盖浇饭
炸串小吃,娄星区,32,4.8,学生夜宵,19:00-00:00,炸土豆
粥,娄星区,7,4.3,学生早餐,06:30-10:30,白粥
早餐米粉店,娄星区,15,4.5,学生早餐,06:00-10:00,青树坪肉片粉
中式快餐,冷水江市,30,4.1,学生午餐,19:00-00:00,羊肉汤
烧烤店,新化县,44,4.0,夜宵,19:00-00:00,烤鸡翅
湘式快餐,双峰县,35,4.4,工作日午餐,10:00-22:00,盖浇饭
西餐厅,娄星区,60,4.7,情侣约会,09:30-22:30,披萨
包子,娄星区,15,3.9,学生早餐,07:00-11:00,奶黄包
素食餐厅,冷水江市,13,4.4,学生晚餐,17:00-22:00,素食套餐
早餐米粉店,新化县,10,4.5,学生早餐,07:00-11:00,三鲜粉
火锅烤肉,娄星区,51,3.6,周末聚餐,09:30-22:30,烤生蚝
特色主题餐厅,双峰县,84,4.4,情侣约会,10:00-22:00,烛光晚餐
烧烤店,双峰县,60,3.9,夜宵,18:00-01:00,烤牛肉串
面馆,娄星区,10,4.7,学生早餐,07:00-11:00,拉面
自助餐厅,新化县,71,4.5,周末聚餐,10:30-21:30,中西结合自助
海鲜餐厅,涟源市,80,4.2,周末聚餐,06:30-10:30,椒盐虾
日韩料理,新化县,57,4.2,周末聚餐,20:00-01:00,寿司
烧烤店,涟源市,54,3.8,周末聚餐,18:00-01:00,烤羊肉串
素食餐厅,冷水江市,15,4.0,学生晚餐,10:30-21:30,素炒时蔬
日韩料理,双峰县,50,4.4,夜宵,18:00-02:00,寿司
湘式快餐,涟源市,25,4.1,学生午餐,11:00-14:00,辣椒炒肉
甜品店,娄星区,30,4.5,甜品,06:00-10:00,布丁
小龙虾店,双峰县,60,4.1,夜宵,17:00-23:00,蒜蓉小龙虾
本地小吃,娄星区,12,3.9,小吃,10:30-21:30,刮凉粉
正餐米粉店,双峰县,20,4.5,午餐,11:30-15:00,三鲜粉
新化菜,新化县,40,4.4,周末聚餐,10:30-21:30,三合汤
