merchant_id,merchant_name,area,avg_price,score,main_scene,business_hours,dish_feature
M0001,湘味王,涟源市,35,4.4,学生午餐,11:30-15:00,盖浇饭
M0002,炸串小栈,娄星区,32,4.8,学生夜宵,19:00-00:00,炸土豆
M0003,粥香居,娄星区,7,4.3,学生早餐,06:30-10:30,白粥
M0004,米粉小铺,娄星区,15,4.5,学生早餐,06:00-10:00,青树坪肉片粉
M0005,快餐达人馆,冷水江市,30,4.1,学生午餐,19:00-00:00,羊肉汤
M0006,撸串吧,新化县,44,4.0,夜宵,19:00-00:00,烤鸡翅
M0007,湘味小厨,双峰县,35,4.4,工作日午餐,10:00-22:00,盖浇饭
M0008,优雅小栈,娄星区,60,4.7,情侣约会,09:30-22:30,披萨
M0009,蒸包达人,娄星区,15,3.9,学生早餐,07:00-11:00,奶黄包
M0010,素味小栈,冷水江市,13,4.4,学生晚餐,17:00-22:00,素食套餐
M0011,米粉世家,新化县,10,4.5,学生早餐,07:00-11:00,三鲜粉
M0012,火锅天地,娄星区,51,3.6,周末聚餐,09:30-22:30,烤生蚝
M0013,特色小栈,双峰县,84,4.4,情侣约会,10:00-22:00,烛光晚餐
M0014,烤串天地,双峰县,60,3.9,夜宵,18:00-01:00,烤牛肉串
M0015,面品小馆,娄星区,10,4.7,学生早餐,07:00-11:00,拉面
M0016,美食自助,新化县,71,4.5,周末聚餐,10:30-21:30,中西结合自助
M0017,海鲜之家,涟源市,80,4.2,周末聚餐,06:30-10:30,椒盐虾
M0018,日韩小馆,新化县,57,4.2,周末聚餐,20:00-01:00,寿司
M0019,烧烤小栈,涟源市,54,3.8,周末聚餐,18:00-01:00,烤羊肉串
M0020,素味之家,冷水江市,15,4.0,学生晚餐,10:30-21:30,素炒时蔬
M0021,韩尚宫,双峰县,50,4.4,夜宵,18:00-02:00,寿司
M0022,乡里人家,涟源市,25,4.1,学生午餐,11:00-14:00,辣椒炒肉
M0023,甜品达人,娄星区,30,4.5,甜品,06:00-10:00,布丁
M0024,小龙虾天地,双峰县,60,4.1,夜宵,17:00-23:00,蒜蓉小龙虾
M0025,娄底老味道,娄星区,12,3.9,小吃,10:30-21:30,刮凉粉
M0026,粉品达人,双峰县,20,4.5,午餐,11:30-15:00,三鲜粉
M0027,新化餐馆,新化县,40,4.4,周末聚餐,10:30-21:30,三合汤
M0028,风味达人,双峰县,14,3.7,小吃,11:30-15:00,甜酒冲蛋
M0029,鱼烤天下,冷水江市,56,4.7,周末聚餐,11:30-15:00,泡椒烤鱼
M0030,暖心粥屋,娄星区,6,4.3,学生早餐,06:30-10:30,黑米粥
M0031,新化味道,新化县,39,4.6,周末聚餐,10:30-21:30,三合汤
M0032,粉香源,娄星区,15,4.1,学生用餐,09:30-22:30,牛肉粉
M0033,中式快餐厅,新化县,20,4.7,外卖,10:00-22:00,小炒黄牛肉
M0034,鱼烤天地,冷水江市,50,4.0,周末聚餐,17:00-23:00,泡椒烤鱼
M0035,泰味天地,双峰县,56,3.6,周末聚餐,17:00-22:00,咖喱鸡
M0036,中西自助,涟源市,60,3.8,周末聚餐,07:00-11:00,海鲜自助
M0037,鱼道之家,新化县,71,4.4,周末聚餐,12:00-14:30,蒜香烤鱼
M0038,湘味小厨,双峰县,24,4.6,学生午餐,09:30-22:30,辣椒炒肉
M0039,新化菜王,娄星区,57,4.4,工作日午餐,11:30-15:00,水车鱼冻
M0040,烤翻天,娄星区,54,3.7,工作日晚餐,18:00-01:00,烤羊肉串
M0041,咖啡天地,涟源市,34,4.2,甜品,11:00-14:00,蛋糕
M0042,料理之家,娄星区,89,4.7,周末聚餐,11:30-15:00,刺身
M0043,好粥道,娄星区,12,4.4,学生早餐,07:00-11:00,皮蛋瘦肉粥
M0044,面王,新化县,25,4.2,工作日午餐,11:00-14:00,拉面
M0045,甜品达人馆,双峰县,44,3.9,甜品,17:30-22:30,布丁
M0046,重庆小面,冷水江市,25,3.8,学生晚餐,17:30-22:30,汉堡
M0047,娄底咖啡,涟源市,33,4.5,甜品,10:00-22:00,三明治
M0048,咖啡源,新化县,28,4.4,甜品,09:30-22:30,拿铁
M0049,泰味达人,娄星区,50,3.9,周末聚餐,10:30-21:30,冬阴功汤
M0050,粉香门第,娄星区,21,4.7,工作日午餐,11:00-14:00,新化粗粉
M0051,家常湘味,冷水江市,35,3.6,工作日晚餐,16:00-21:00,盖浇饭
M0052,面香园,双峰县,15,3.9,学生晚餐,19:00-22:00,拉面
M0053,粉道人家,娄星区,21,4.6,工作日午餐,11:00-14:00,炒粉
M0054,鱼道小栈,新化县,50,3.8,周末午餐,11:30-15:00,蒜香烤鱼
M0055,粥铺达人,娄星区,6,4.6,学生早餐,06:00-10:00,小米粥
M0056,新化粗粉王,双峰县,18,4.4,学生用餐,10:30-21:30,牛肉粉
M0057,小吃天地,双峰县,12,4.4,小吃,10:00-22:00,甜酒冲蛋
M0058,咖啡之园,娄星区,22,4.7,情侣约会,10:00-22:00,卡布奇诺
